side	modId	displayName	tier	classes	file
target-only	pamhc2crops	Pam's HarvestCraft - Crops	TRIVIAL	25	pamhc2crops-NEOFORGE-1.21.1-1.0.9.jar
target-only	pamhc2foodcore	Pam's HarvestCraft - Food Core	TRIVIAL	6	pamhc2foodcore-NEOFORGE-1.21.1-1.0.4.jar
target-only	pamhc2foodextended	Pam's HarvestCraft - Food Extended	TRIVIAL	6	pamhc2foodextended-NEOFORGE-1.21.1-1.0.0.jar
target-only	pamhc2trees	Pam's HarvestCraft - Trees	TRIVIAL	75	pamhc2trees-NEOFORGE-1.21.1-1.0.9.jar
target-only	pocketstorage	Pocket Storage	TRIVIAL	32	pocketstorage-1.2.5+1.21.1-b3.jar
target-only	polylib	PolyLib	HARD	560	polylib-2100.1.0-build.183-neoforge.jar
target-only	prickle	PrickleMC	TRIVIAL	47	prickle-neoforge-1.21.1-21.1.11.jar
target-only	prism	Prism	HARD	25	Prism-1.21.1-neoforge-1.0.11.jar
target-only	productivemetalworks	Productive Metalworks	TRIVIAL	123	productivemetalworks-1.21.1-1.15.0.jar
target-only	rainbows	Rainbows	TRIVIAL	19	Rainbows-1.21-1.5.jar
target-only	reap	Reap Mod	TRIVIAL	91	reap-neoforge-1.21.1-1.1.2.jar
target-only	rebind_narrator	Rebind Narrator	HARD	7	rebind_narrator-1.21.1-neoforge-2025.12.23.jar
target-only	rechiseled_chipped	Rechiseled: Chipped	HARD	5	rechiseled_chipped-2.0-1.21.1.jar
target-only	redstonepen	Redstone Pen	MODERATE	153	redstonepen-1.21-neoforge-1.11.42.jar
target-only	refinedstorage_curios_integration	Refined Storage - Curios Integration	TRIVIAL	5	refinedstorage-curios-integration-1.0.0.jar
target-only	refinedstorage_jei_integration	Refined Storage - JEI Integration	TRIVIAL	33	refinedstorage-jei-integration-neoforge-1.0.0.jar
target-only	refinedstorage_mekanism_integration	Refined Storage - Mekanism Integration	TRIVIAL	55	refinedstorage-mekanism-integration-1.1.1.jar
target-only	refinedstorage_quartz_arsenal	Refined Storage - Quartz Arsenal	TRIVIAL	33	refinedstorage-quartz-arsenal-neoforge-1.0.8.jar
target-only	refinedtypes	Refined Types	HARD	164	refined-types-1.21.1-0.3.2.jar
target-only	refurbished_furniture	MrCrayfish's Furniture Mod: Refurbished	HARD	575	refurbished_furniture-neoforge-1.21.1-1.0.22.jar
target-only	regions_unexplored	Regions Unexplored	HARD	345	regions_unexplored-neoforge-1.21.1-0.5.9.jar
target-only	relics	Relics	NIGHTMARE	702	relics-1.21.1-0.12.8.jar
target-only	reliquified_artifacts	reliquified_artifacts	HARD	146	reliquified_artifacts-1.21.1-1.0.7.jar
target-only	repeatable_trial_vaults	Repeatable Trial Vaults	HARD	5	repeatable_trial_vaults-neoforge-1.21-1.0.3.jar
target-only	restrictions	Restrictions	TRIVIAL	13	restrictions-1.21-7.0.3.jar
target-only	rootsclassic	Roots Classic	MODERATE	198	RootsClassic-1.21.1-1.5.7.jar
target-only	sawmill	Universal Sawmill	HARD	40	sawmill-neoforge-1.21-1.7.7.jar
target-only	sgearmetalworks	Silent Gear Metalworks	TRIVIAL	41	sgearmetalworks-1.21.1-1.5.0.jar
target-only	shiny	Shiny!	MODERATE	188	shiny-1.21.1-1.3.0.jar
target-only	silentgems	Silent's Gems	TRIVIAL	71	silentgems-1.21.1-neoforge-5.1.3.jar
target-only	simple_weather	Simple Weather	HARD	13	simple_weather-1.0.13-hotfix.jar
target-only	smithingtemplateviewer	SmithingTemplateViewer	TRIVIAL	10	smithingtemplateviewer-1.0.4.jar
target-only	sodium	Sodium	NIGHTMARE	72	sodium-neoforge-0.8.13-beta.1+mc1.21.1.jar
target-only	sodium_extra	Sodium Extra	NIGHTMARE	88	sodium-extra-neoforge-0.9.3+mc1.21.1.jar
target-only	sophisticatedbackpackscreateintegration	Sophisticated Backpacks Create Integration	TRIVIAL	36	sophisticatedbackpackscreateintegration-1.21.1-0.1.8.134.jar
target-only	sophisticatedstoragecreateintegration	Sophisticated Storage Create Integration	TRIVIAL	49	sophisticatedstoragecreateintegration-1.21.1-0.1.21.209.jar
target-only	sophisticatedstorageinmotion	Sophisticated Storage In Motion	HARD	108	sophisticatedstorageinmotion-1.21.1-0.10.33.324.jar
target-only	soulplied_energistics	Soulplied Energistics	TRIVIAL	13	soulplied_energistics-1.0.3.jar
target-only	starbunclemania	Starbunclemania	HARD	142	starbunclemania-1.21.1-1.5.7.jar
target-only	stevescarts	StevesCarts2	MODERATE	517	stevescarts-1.21-1.2.18-neoforge.jar
target-only	storagedelight	Storage Delight	TRIVIAL	34	storagedelight-26.07.01a-1.21-neoforge.jar
target-only	structory_towers	Structory: Towers	TRIVIAL	0	Structory_Towers_26.1_v1.0.16.jar
target-only	sussysniffers	Sussy Sniffers	HARD	9	sussysniffers-1.21.1-0.1.3.jar
target-only	tesseract_api	Tesseract API	NIGHTMARE	408	tesseract-api-neoforge-1.12.13-1.21.1.jar
target-only	the_bumblezone	The Bumblezone	NIGHTMARE	948	the_bumblezone-7.15.3+1.21.1-neoforge.jar
target-only	theurgy_kubejs	Theurgy KubeJS	TRIVIAL	10	theurgy_kubejs-1.21.1-neoforge-1.5.1.jar
target-only	transfer_labels	Transfer Labels	TRIVIAL	50	transfer_labels-0.1.8.jar
target-only	treetap	Tree Tap	TRIVIAL	29	treetap-1.21.1-0.4.6.jar
target-only	trophymanager	Jonn's Trophies	TRIVIAL	30	trophymanager-1.21.1-2.5.0.jar
target-only	underground_villages	Underground Villages Mod	TRIVIAL	27	UndergroundVillages-neoforge-1.21.1-4.0.3.jar
target-only	uranus	Uranus	HARD	168	uranus-2.4.1-1.21.1-neoforge.jar
target-only	utilityvest	Utility vest	HARD	59	utilityvest-1.3.0.jar
target-only	variantsandventures	Variants&Ventures	HARD	97	variantsandventures-neoforge-1.0.26+mc1.21.1.jar
target-only	villagesandpillages	Villages & Pillages	HARD	19	villagesandpillages-neoforge-mc1.21.1-1.0.3.jar
target-only	wits	Wits	TRIVIAL	3	wits-neoforge-1.3.1.jar
target-only	xtonesreworked	XTones Reworked	TRIVIAL	42	xtonesreworked-1.1.1-1.21.1.jar
target-only	xycraft_core	XyCraft Core	HARD	517	xycraft_core-0.7.53-all.jar
target-only	xycraft_machines	XyCraft Machines	HARD	505	xycraft_machines-0.7.53.jar
target-only	xycraft_override	XyCraft Override	TRIVIAL	19	xycraft_override-0.7.53.jar
target-only	xycraft_world	XyCraft World	TRIVIAL	50	xycraft_world-0.7.53.jar
target-only	yet_another_config_lib_v3	YetAnotherConfigLib	HARD	355	yet_another_config_lib_v3-3.8.2+1.21.1-neoforge.jar
target-only	~unknown:MoogsEndStructures-1.21-2.0.3		TRIVIAL	0	MoogsEndStructures-1.21-2.0.3.jar
target-only	~unknown:MoogsNetherStructures-1.21-3.0.0		TRIVIAL	0	MoogsNetherStructures-1.21-3.0.0.jar
target-only	~unknown:MoogsSoaringStructures-1.21-2.1.2		TRIVIAL	0	MoogsSoaringStructures-1.21-2.1.2.jar
target-only	~unknown:MoogsVoyagerStructures-1.21-5.0.14		TRIVIAL	0	MoogsVoyagerStructures-1.21-5.0.14.jar
target-only	~unknown:ScalableCatsForce-NeoForge-3.7.1-build-11-with-library		NIGHTMARE	6506	ScalableCatsForce-NeoForge-3.7.1-build-11-with-library.jar
target-only	~unknown:kotlinforforge-5.12.0-all		TRIVIAL	0	kotlinforforge-5.12.0-all.jar
