modId	tier	sourceVersion	targetVersion	sourceClasses	targetClasses	sourceMixins	targetMixins	sourceFile	targetFile
jumpboat	HARD	1.20.0-1.0.5	1.21.0-1.0.5	4	4	0	0	jumpboat-1.20.0-1.0.5.jar	jumpboat-1.21.0-1.0.5.jar
justenoughprofessions	TRIVIAL	3.0.1	4.0.5	11	12	0	0	JustEnoughProfessions-forge-1.20.1-3.0.1.jar	JustEnoughProfessions-neoforge-1.21.1-4.0.5.jar
justzoom	HARD	2.1.1	2.1.0	24	24	2	2	justzoom_forge_2.1.1_MC_1.20.1.jar	justzoom_neoforge_2.1.0_MC_1.21.1.jar
konkrete	HARD	1.8.0	1.9.9	399	411	0	2	konkrete_forge_1.8.0_MC_1.20-1.20.1.jar	konkrete_neoforge_1.9.9_MC_1.21.jar
kubejs	NIGHTMARE	2001.6.5-build.16	2101.7.2-build.368	829	1085	2	1	kubejs-forge-2001.6.5-build.16.jar	kubejs-neoforge-2101.7.2-build.368.jar
laserio	MODERATE	1.6.8	1.9.11	191	211	0	0	laserio-1.6.8.jar	laserio-1.9.11.jar
lionfishapi	HARD	2.4-Fix	3.1	77	51	1	1	lionfishapi-2.4-Fix.jar	lionfishapi-3.1.jar
lithostitched	HARD	1.4.11	1.7.13	163	339	2	3	lithostitched-forge-1.20.1-1.4.11.jar	lithostitched-1.7.13-neoforge-21.1.jar
lootr	HARD	0.7.35.92	1.21.1-1.11.37.122	99	316	1	3	lootr-forge-1.20-0.7.35.93.jar	lootr-neoforge-1.21.1-1.11.37.122.jar
mahoutsukai	HARD	1.20.1-v1.34.78	1.21.1-v1.36.27	714	796	1	1	mahoutsukai-1.20.1-v1.34.78.jar	mahoutsukai-1.21.1-v1.36.27.jar
mcjtylib	MODERATE	1.20-8.0.7	1.21-9.0.21	424	388	0	0	mcjtylib-1.20-8.0.7.jar	mcjtylib-1.21-9.0.21.jar
mcwbridges	TRIVIAL	3.1.0	3.1.2	31	29	0	0	mcw-bridges-3.1.0-mc1.20.1forge.jar	mcw-bridges-3.1.2-mc1.21.1neoforge.jar
mcwdoors	TRIVIAL	1.1.2	1.1.5	14	15	0	0	mcw-doors-1.1.2-mc1.20.1forge.jar	mcw-doors-1.1.5-mc1.21.1neoforge.jar
mcwfences	TRIVIAL	1.2.0	1.2.1	19	19	0	0	mcw-fences-1.2.0-1.20.1forge.jar	mcw-mcwfences-1.2.1-mc1.21.1neoforge.jar
mcwfurnitures	TRIVIAL	3.3.0	3.4.1	46	56	0	0	mcw-furniture-3.3.0-mc1.20.1forge.jar	mcw-furniture-3.4.1-mc1.21.1neoforge.jar
mcwlights	TRIVIAL	1.1.2	1.1.5	40	40	0	0	mcw-lights-1.1.2-mc1.20.1forge.jar	mcw-lights-1.1.5-mc1.21.1neoforge.jar
mcwpaths	TRIVIAL	1.1.1	1.1.1	11	11	0	0	mcw-mcwpaths-1.1.1-mc1.20.1forge.jar	mcw-mcwpaths-1.1.1-mc1.21.1neoforge.jar
mcwroofs	TRIVIAL	2.3.2	2.3.2	24	23	0	0	mcw-roofs-2.3.2-mc1.20.1forge.jar	mcw-roofs-2.3.2-mc1.21.1neoforge.jar
mcwtrpdoors	TRIVIAL	1.1.4	1.1.5	6	7	0	0	mcw-trapdoors-1.1.4-mc1.20.1forge.jar	mcw-trapdoors-1.1.5-mc1.21.1neoforge.jar
mcwwindows	TRIVIAL	2.4.1	2.4.2	39	39	0	0	mcw-mcwwindows-2.4.1-mc1.20.1forge.jar	mcw-mcwwindows-2.4.2-mc1.21.1neoforge.jar
measurements	TRIVIAL	2.0.1	3.0.3	26	28	0	0	Measurements-forge-1.20.1-2.0.1.jar	Measurements-neoforge-1.21.1-3.0.3.jar
megacells	HARD	2.4.6-1.20.1	4.11.0	77	86	2	1	megacells-forge-2.4.6-1.20.1.jar	megacells-4.11.0.jar
mekanism	MODERATE	10.4.15	10.7.19	3140	2975	0	0	Mekanism-1.20.1-10.4.15.75.jar	Mekanism-1.21.1-10.7.19.85.jar
mekanismgenerators	MODERATE	10.4.15	10.7.19	160	170	0	0	MekanismGenerators-1.20.1-10.4.15.75.jar	MekanismGenerators-1.21.1-10.7.19.85.jar
mekanismtools	TRIVIAL	10.4.15	10.7.19	65	69	0	0	MekanismTools-1.20.1-10.4.15.75.jar	MekanismTools-1.21.1-10.7.19.85.jar
memorysettings	HARD	1.20.1-5.9	6.0	10	10	1	1	memorysettings-1.20.1-5.9.jar	memorysettings-1.21-6.0.jar
merequester	HARD	1.20.1-1.1.5	1.21.1-1.4.3	79	75	1	1	merequester-forge-1.20.1-1.1.5.jar	merequester-neoforge-1.21.1-1.4.3.jar
minecolonies	MODERATE	1.20.1-1.1.1065-snapshot	1.1.1367-1.21.1-snapshot	2478	2503	0	0	minecolonies-1.20.1-1.1.1065-snapshot.jar	minecolonies-1.1.1367-1.21.1-snapshot.jar
mininggadgets	TRIVIAL	1.15.6	1.18.7	122	126	0	0	mininggadgets-1.15.6.jar	mininggadgets-1.18.7.jar
mob_grinding_utils	MODERATE	1.20.1-1.1.0	1.1.10+mc1.21.1	177	174	0	1	mob_grinding_utils-1.20.1-1.1.0.jar	mob_grinding_utils-1.1.10+mc1.21.1.jar
modelfix	HARD	1.15	1.21-1.10	15	18	1	1	modelfix-1.15.jar	modelfix-1.21-1.10.jar
modernfix	NIGHTMARE	5.24.4+mc1.20.1	5.27.20+mc1.21.1	351	311	2	1	modernfix-forge-5.24.4+mc1.20.1.jar	modernfix-neoforge-5.27.20+mc1.21.1.jar
modonomicon	MODERATE	1.79.2	1.120.4	348	411	2	1	modonomicon-1.20.1-forge-1.79.2.jar	modonomicon-1.21.1-neoforge-1.120.4.jar
modularrouters	MODERATE	12.1.1+mc1.20.1	13.2.7	361	376	0	1	modular-routers-12.1.1+mc1.20.1.jar	modular-routers-13.2.7+mc1.21.1.jar
moonlight	NIGHTMARE	1.20-2.16.14	1.21.1-3.3.0	492	815	2	2	moonlight-1.20-2.16.14-forge.jar	moonlight-neoforge-1.21.1-3.3.0.jar
moredragoneggs	HARD	4.0	5.0	3	3	2	1	moredragoneggs-4.0.jar	moredragoneggs-5.0.jar
moreoverlays	HARD	1.24.1	1.24.2	42	42	0	0	moreoverlays-1.24.1-mc1.20.1-forge.jar	moreoverlays-1.24.2-mc1.21.1-neoforge.jar
morered	HARD	4.0.0.4	6.0.0.3	115	106	1	1	morered-1.20.1-4.0.0.4.jar	morered-1.21.1-6.0.0.3.jar
mousetweaks	HARD	2.25.1	2.26.1	23	22	3	2	MouseTweaks-forge-mc1.20.1-2.25.1.jar	MouseTweaks-neoforge-mc1.21-2.26.1.jar
multipiston	TRIVIAL	1.20-1.2.43-RELEASE	1.2.58-1.21.1	14	10	0	0	multipiston-1.20-1.2.43-RELEASE.jar	multipiston-1.2.58-1.21.1.jar
mysticalagradditions	TRIVIAL	7.0.11	8.0.14	37	35	0	0	MysticalAgradditions-1.20.1-7.0.11.jar	MysticalAgradditions-1.21.1-8.0.14.jar
mysticalagriculture	MODERATE	7.0.23	8.0.27	291	295	0	0	MysticalAgriculture-1.20.1-7.0.23.jar	MysticalAgriculture-1.21.1-8.0.27.jar
mysticalcustomization	TRIVIAL	5.0.3	6.0.2	18	18	0	0	MysticalCustomization-1.20.1-5.0.3.jar	MysticalCustomization-1.21.1-6.0.2.jar
naturesaura	MODERATE	39.4	41.9	312	315	0	0	NaturesAura-39.4.jar	NaturesAura-41.9.jar
naturescompass	TRIVIAL	1.20.1-1.11.2-forge	1.21.1-3.4.0-neoforge	32	33	0	0	NaturesCompass-1.20.1-1.11.2-forge.jar	NaturesCompass-1.21.1-3.4.0-neoforge.jar
netherportalfix	HARD	13.0.1	21.1.1	8	6	1	2	netherportalfix-forge-1.20-13.0.1.jar	netherportalfix-neoforge-1.21.1-21.1.1.jar
nochatreports	NIGHTMARE	1.20.1-v2.2.2	1.21.1-v2.9.1	88	88	2	2	NoChatReports-FORGE-1.20.1-v2.2.2.jar	NoChatReports-NEOFORGE-1.21.1-v2.9.1.jar
novillagerdm	TRIVIAL	5.0.0	6.0.0	3	3	0	0	novillagerdm-1.20.1-5.0.0.jar	novillagerdm-1.21.1-6.0.0.jar
observable	HARD	4.4.2	5.4.4	237	193	0	0	observable-4.4.2.jar	observable-5.4.4.jar
occultism	MODERATE	1.152.1	1.224.1	634	950	0	0	occultism-1.20.1-1.152.1.jar	occultism-1.21.1-neoforge-1.224.1.jar
patchouli	HARD	1.20.1-84.1-FORGE	1.21.1-93-NEOFORGE	196	198	1	1	Patchouli-1.20.1-84.1-FORGE.jar	Patchouli-1.21.1-93-NEOFORGE.jar
pipez	MODERATE	1.20.1-1.2.26	1.21.1-1.2.31	203	212	0	0	pipez-forge-1.20.1-1.2.26.jar	pipez-neoforge-1.21.1-1.2.31.jar
placebo	NIGHTMARE	8.6.3	9.9.2	153	164	1	1	Placebo-1.20.1-8.6.3.jar	Placebo-1.21.1-9.9.2.jar
playeranimator	HARD	1.0.2-rc1+1.20	2.0.4+1.21.1	115	127	1	1	player-animation-lib-forge-1.0.2-rc1+1.20.jar	player-animation-lib-forge-2.0.4+1.21.1.jar
pneumaticcraft	HARD	6.0.21+mc1.20.1	8.2.23	2180	2182	2	1	pneumaticcraft-repressurized-6.0.21+mc1.20.1.jar	pneumaticcraft-repressurized-8.2.23+mc1.21.1.jar
polyeng	HARD	0.1.1-1.20.1	0.4.1	8	10	1	1	polyeng-forge-0.1.1-1.20.1.jar	polyeng-0.4.1.jar
polymorph	HARD	0.49.10+1.20.1	1.1.0+1.21.1	91	98	2	3	polymorph-forge-0.49.10+1.20.1.jar	polymorph-neoforge-1.1.0+1.21.1.jar
ponderjs	HARD	2.0.6	1.21.1-2.4.0	59	57	1	1	ponderjs-1.20.1-2.0.6.jar	ponderjs-neoforge-1.21.1-2.4.0.jar
potionsmaster	TRIVIAL	0.6.0	1.0.1	92	75	0	0	potionsmaster-1.20.1-47.1.70-0.6.0.jar	potionsmaster-21.1.113-1.0.1.jar
powah	MODERATE	5.0.11	6.2.10	370	351	0	0	Powah-5.0.11.jar	Powah-6.2.10.jar
productivebees	MODERATE	1.20.1-12.6.0	1.21.1-13.13.5	527	524	0	0	productivebees-1.20.1-12.6.0.jar	productivebees-1.21.1-13.13.5.jar
productivetrees	MODERATE	1.20.1-0.2.6	1.21.1-1.0.0	156	185	0	0	productivetrees-1.20.1-0.2.6.jar	productivetrees-1.21.1-1.0.0.jar
pylons	TRIVIAL	4.2.1	5.4.2	74	106	0	0	pylons-1.20.1-4.2.1.jar	pylons-1.21.1-5.4.2.jar
quarryplus	MODERATE	1201.1.136	21.1.157	364	233	0	0	AdditionalEnchantedMiner-1.20.1-1201.1.136.jar	AdditionalEnchantedMiner-1.21.1-neoforge-21.1.157.jar
railcraft	HARD	1.1.10	1.2.10	1191	1204	1	1	railcraft-reborn-1.20.1-1.1.10.jar	railcraft-reborn-1.21.1-1.2.10.jar
rangedpumps	TRIVIAL	1.1.0	1.3.0	7	6	0	0	rangedpumps-1.1.0.jar	rangedpumps-1.3.0.jar
rechiseled	TRIVIAL	1.1.6	1.2.5	71	123	0	1	rechiseled-1.1.6-forge-mc1.20.jar	rechiseled-1.2.5-neoforge-mc1.21.jar
rechiseledcreate	TRIVIAL	1.0.2+b	1.1.1	16	19	0	1	rechiseledcreate-1.0.2b-forge-mc1.20.jar	rechiseledcreate-1.1.1-neoforge-mc1.21.jar
refinedstorage	MODERATE	1.12.4	2.0.9	783	1508	0	1	refinedstorage-1.12.4.jar	refinedstorage-neoforge-2.0.9.jar
reliquary	MODERATE	2.0.54.1304	2.0.77	476	456	0	0	reliquary-1.20.1-2.0.54.1304.jar	reliquary-1.21.1-2.0.77.1537.jar
repurposed_structures	NIGHTMARE	7.1.19+1.20.1-forge	7.5.21+1.21.1-neoforge	240	248	2	2	repurposed_structures-7.1.19+1.20.1-forge.jar	repurposed_structures-7.5.21+1.21.1-neoforge.jar
resourcefulconfig	TRIVIAL	2.1.3	3.0.11	80	186	0	1	resourcefulconfig-forge-1.20.1-2.1.3.jar	resourcefulconfig-neoforge-1.21-3.0.11.jar
resourcefullib	MODERATE	2.1.29	3.0.12	188	222	0	1	resourcefullib-forge-1.20.1-2.1.29.jar	resourcefullib-neoforge-1.21-3.0.12.jar
rftoolsbase	MODERATE	1.20-5.0.6	1.21-6.0.11	162	182	0	0	rftoolsbase-1.20-5.0.6.jar	rftoolsbase-1.21-6.0.11.jar
rftoolsbuilder	MODERATE	1.20-6.0.8	1.21-7.0.5	189	222	0	0	rftoolsbuilder-1.20-6.0.8.jar	rftoolsbuilder-1.21-7.0.5.jar
rftoolspower	TRIVIAL	1.20-6.0.2	1.21-7.0.6	96	104	0	0	rftoolspower-1.20-6.0.2.jar	rftoolspower-1.21-7.0.6.jar
rftoolsstorage	TRIVIAL	1.20-5.0.3	1.21-6.0.5	131	131	0	0	rftoolsstorage-1.20-5.0.3.jar	rftoolsstorage-1.21-6.0.5.jar
rftoolsutility	MODERATE	1.20-6.0.6	1.21-7.0.12	308	308	0	0	rftoolsutility-1.20-6.0.6.jar	rftoolsutility-1.21-7.0.12.jar
rhino	HARD	2001.2.3-build.10	2101.2.7-build.81	446	346	1	0	rhino-forge-2001.2.3-build.10.jar	rhino-2101.2.7-build.81.jar
searchables	HARD	1.0.3	1.0.2	41	41	2	2	Searchables-forge-1.20.1-1.0.3.jar	Searchables-neoforge-1.21.1-1.0.2.jar
securitycraft	HARD	1.10.0.1	1.10.2.1	710	759	1	1	[1.20.1] SecurityCraft v1.10.0.1.jar	[1.21.1] SecurityCraft v1.10.2.1.jar
sfm	HARD	4.26.0	4.34.0	737	821	1	1	Super Factory Manager (SFM)-MC1.20.1-4.26.0.jar	Super Factory Manager (SFM)-MC1.21.1-4.34.0.jar
shrink	HARD	1.4.5	2.0.1.47	45	22	1	1	Shrink-1.20.1-1.4.5.jar	shrink-2.0.1.47-neoforge.jar
silentgear	HARD	3.6.7	4.2.1.1	535	636	1	1	silent-gear-1.20.1-3.6.7.jar	silent-gear-1.21.1-neoforge-4.2.1.1.jar
silentlib	TRIVIAL	8.0.0	10.6.0	143	87	0	0	silent-lib-1.20.1-8.0.0.jar	silent-lib-1.21.1-neoforge-10.6.0.jar
simplebackups	TRIVIAL	1.20.1-3.1.17	1.21-4.0.30	20	27	0	0	SimpleBackups-1.20.1-3.1.17.jar	SimpleBackups-1.21-4.0.30.jar
simplemagnets	TRIVIAL	1.1.12	1.1.12+c	58	61	0	1	simplemagnets-1.1.12-forge-mc1.20.1.jar	simplemagnets-1.1.12c-neoforge-mc1.21.jar
simplylight	TRIVIAL	1.20.1-1.4.6-build.50	1.5.3	30	42	0	0	simplylight-1.20.1-1.4.6-build.50.jar	simplylight-1.5.3+1.21.1-b4.jar
smartbrainlib	TRIVIAL	1.15	1.16.11	119	130	0	0	SmartBrainLib-forge-1.20.1-1.15.jar	SmartBrainLib-neoforge-1.21.1-1.16.11.jar
solcarrot	TRIVIAL	1.15.1	1.16.6	54	54	0	0	solcarrot-1.20.1-1.15.1.jar	solcarrot-1.21.1-1.16.6.jar
sophisticatedbackpacks	MODERATE	3.24.9.1391	3.25.73	303	362	0	1	sophisticatedbackpacks-1.20.1-3.24.9.1391.jar	sophisticatedbackpacks-1.21.1-3.25.73.2020.jar
sophisticatedcore	MODERATE	1.2.105.1230	1.4.80	660	777	0	2	sophisticatedcore-1.20.1-1.2.105.1230.jar	sophisticatedcore-1.21.1-1.4.80.2194.jar
sophisticatedstorage	MODERATE	1.4.11.1344	1.5.83	347	390	0	0	sophisticatedstorage-1.20.1-1.4.11.1344.jar	sophisticatedstorage-1.21.1-1.5.83.2017.jar
spark	MODERATE	1.10.53	1.10.124	1298	1625	0	0	spark-1.10.53-forge.jar	spark-1.10.124-neoforge.jar
structory	TRIVIAL	1.3.5	1.3.17	0	0	0	0	Structory_1.20.x_v1.3.5.jar	Structory_26.2_v1.3.7.jar
structurize	MODERATE	1.20.1-1.0.784-snapshot	1.0.832-1.21.1-snapshot	290	268	0	0	structurize-1.20.1-1.0.784-snapshot.jar	structurize-1.0.832-1.21.1-snapshot.jar
stylecolonies	TRIVIAL	1.20.1-1.15.39	1.15.56-1.21.1	1	1	0	0	stylecolonies-1.20.1-1.15.39.jar	stylecolonies-1.15.56-1.21.1.jar
supermartijn642configlib	TRIVIAL	1.1.8	1.1.8	44	44	0	0	supermartijn642configlib-1.1.8-forge-mc1.20.jar	supermartijn642configlib-1.1.8-neoforge-mc1.21.jar
supermartijn642corelib	HARD	1.1.18	1.1.22	181	204	2	1	supermartijn642corelib-1.1.18-forge-mc1.20.1.jar	supermartijn642corelib-1.1.22-neoforge-mc1.21.jar
supplementaries	NIGHTMARE	1.20-3.1.40	1.21.1-3.8.5	1097	1218	2	2	supplementaries-1.20-3.1.40.jar	supplementaries-neoforge-1.21.1-3.8.5.jar
sushigocrafting	TRIVIAL	0.5.3	0.6.5	122	124	0	0	sushigocrafting-1.20.1-0.5.3.jar	sushigocrafting-1.21-0.6.5.jar
t_and_t	TRIVIAL	1.10.2	1.13.9	1	3	0	0	Towns-and-Towers-1.12-Fabric+Forge.jar	t_and_t-neoforge-fabric-1.13.9+1.21.1.jar
tempad	HARD	2.3.4	3.0.4	83	519	2	1	tempad-forge-1.20.1-2.3.4.jar	tempad-1.21.1-3.0.4-all.jar
terrablender	HARD	3.0.1.10	4.1.0.8	53	63	2	2	TerraBlender-forge-1.20.1-3.0.1.10.jar	TerraBlender-neoforge-1.21.1-4.1.0.8.jar
theurgy	MODERATE	1.25.0	1.76.0	456	637	0	0	theurgy-1.20.1-1.25.0.jar	theurgy-1.21.1-neoforge-1.76.0.jar
tiab	TRIVIAL	4.0.4-mc1.20.1	6.5.4	37	38	0	0	time-in-a-bottle-4.0.4-mc1.20.1.jar	tiab-neoforge-6.5.4.jar
titanium	MODERATE	3.8.32	4.0.45	329	315	0	0	titanium-1.20.1-3.8.32.jar	titanium-1.21-4.0.45.jar
toastcontrol	NIGHTMARE	8.0.3	9.0.1	6	6	1	1	ToastControl-1.20.1-8.0.3.jar	ToastControl-1.21.1-9.0.1.jar
tombstone	NIGHTMARE	9.0.9	9.5.3	647	601	2	1	tombstone-1.20.1-9.0.9.jar	tombstone-neoforge-1.21.1-9.5.3.jar
toolbelt	TRIVIAL	1.20.02	2.2.10	106	76	0	0	ToolBelt-1.20.1-1.20.02.jar	ToolBelt-1.21.1-2.2.10.jar
torchmaster	TRIVIAL	20.1.9	21.1.9	41	57	0	2	torchmaster-20.1.9.jar	torchmaster-neoforge-1.21.1-21.1.9.jar
towntalk	TRIVIAL	1.1.0	1.2.0	3	3	0	0	towntalk-1.20.1-1.1.0.jar	towntalk-1.2.0.jar
trashcans	TRIVIAL	1.0.18b	1.0.18+c	59	60	0	1	trashcans-1.0.18b-forge-mc1.20.jar	trashcans-1.0.18c-neoforge-mc1.21.jar
trashslot	TRIVIAL	15.1.2	21.1.11	40	47	1	2	trashslot-forge-1.20-15.1.2.jar	trashslot-neoforge-1.21.1-21.1.11.jar
twilightforest	NIGHTMARE	4.3.2508	4.8.3345	1570	1943	0	0	twilightforest-1.20.1-4.3.2508-universal.jar	twilightforest-1.21.1-4.8.3345-universal.jar
undergarden	HARD	0.8.14	0.9.6	391	427	1	1	The_Undergarden-1.20.1-0.8.14.jar	The_Undergarden-1.21.1-0.9.6.jar
universalgrid	HARD	1.20.1-1.1	1.21.1-0.3.2	18	62	1	1	universalgrid-1.20.1-1.1.jar	universalgrid-neoforge-1.21.1-0.3.2.jar
utilitarian	HARD	1.20.1-0.9.1	1.21.1-0.19.2	37	70	0	0	utilitarian-1.20.1-0.9.1.jar	utilitarian-1.21.1-0.19.2.jar
valhelsia_core	HARD	1.1.2	1.1.5	122	115	2	2	valhelsia_core-forge-1.20.1-1.1.2.jar	valhelsia_core-neoforge-1.21.1-1.1.5.jar
waystones	HARD	14.1.17	21.1.39	182	379	1	2	waystones-forge-1.20.1-14.1.17.jar	waystones-neoforge-1.21.1-21.1.39.jar
wirelesschargers	TRIVIAL	1.0.10	1.0.9+a	26	27	0	1	wirelesschargers-1.0.10-forge-mc1.20.4.jar	wirelesschargers-1.0.9a-neoforge-mc1.21.jar
wstweaks	NIGHTMARE	9.1.0	10.1.1	5	6	1	1	WitherSkeletonTweaks-1.20.1-9.1.0.jar	WitherSkeletonTweaks-1.21.1-10.1.1.jar
xnet	MODERATE	1.20-6.1.6	1.21-7.0.7	178	186	0	0	xnet-1.20-6.1.6.jar	xnet-1.21-7.0.7.jar
yeetusexperimentus	HARD	2.3.1-build.6+mc1.20.1	87.0.0	4	6	1	2	YeetusExperimentus-Forge-2.3.1-build.6+mc1.20.1.jar	yeetusexperimentus-neoforge-87.0.0.jar
yungsapi	HARD	1.20-Forge-4.0.6	1.21.1-NeoForge-5.1.6	167	179	2	2	YungsApi-1.20-Forge-4.0.6.jar	YungsApi-1.21.1-NeoForge-5.1.6.jar
yungsextras	TRIVIAL	1.20-Forge-4.0.3	1.21.1-NeoForge-5.1.1	29	29	2	0	YungsExtras-1.20-Forge-4.0.3.jar	YungsExtras-1.21.1-NeoForge-5.1.1.jar
zerocore	MODERATE	1.20.1-2.1.47	1.21.1-2.4.21	771	794	0	1	ZeroCore2-1.20.1-2.1.47.jar	ZeroCore2-1.21.1-2.4.21.jar
